category,measurement,segment,min_interval,min_value,max_value,max_interval,token,exact_dose_token,make_extreme_value_quintile,manual_correction_range,added,observation_count,num_quantiles,original_token
labs,bilirubin_total,above,(,2.8,6.1,],"labs_bilirubin_total_(2.8,6.1]",0,,,,,,
labs,bilirubin_total,above,(,6.1,8.0,],"labs_bilirubin_total_(6.1,8.0]",0,1.0,,added,4303.0,5.0,lab_bilirubin_total_above_6_to_76
labs,bilirubin_total,above,(,8.0,11.3,],"labs_bilirubin_total_(8.0,11.3]",0,1.0,,added,4295.0,5.0,lab_bilirubin_total_above_6_to_76
labs,bilirubin_total,above,(,11.3,16.4,],"labs_bilirubin_total_(11.3,16.4]",0,1.0,,added,4186.0,5.0,lab_bilirubin_total_above_6_to_76
labs,bilirubin_total,above,(,16.4,25.0,],"labs_bilirubin_total_(16.4,25.0]",0,1.0,,added,4213.0,5.0,lab_bilirubin_total_above_6_to_76
labs,bilirubin_total,above,(,25.0,76.4,],"labs_bilirubin_total_(25.0,76.4]",0,1.0,,added,4190.0,5.0,lab_bilirubin_total_above_6_to_76
labs,bun,below,[,1.9,5.0,],"labs_bun_[1.9,5.0]",0,,,,,,
labs,bun,below,(,5.0,6.0,],"labs_bun_(5.0,6.0]",0,,,,,,
labs,bun,below,(,6.0,7.0,],"labs_bun_(6.0,7.0]",0,,,,,,
labs,bun,below,(,7.0,8.0,],"labs_bun_(7.0,8.0]",0,,,,,,
labs,bun,normal,(,8.0,10.0,],"labs_bun_(8.0,10.0]",0,,,,,,
labs,bun,normal,(,10.0,13.0,],"labs_bun_(10.0,13.0]",0,,,,,,
labs,bun,normal,(,13.0,16.0,],"labs_bun_(13.0,16.0]",0,,,,,,
labs,bun,normal,(,16.0,19.0,],"labs_bun_(16.0,19.0]",0,,,,,,
labs,bun,normal,(,19.0,23.0,],"labs_bun_(19.0,23.0]",0,,,,,,
labs,bun,above,(,23.0,27.0,],"labs_bun_(23.0,27.0]",0,,,,,,
labs,bun,above,(,27.0,33.0,],"labs_bun_(27.0,33.0]",0,,,,,,
labs,bun,above,(,33.0,43.0,],"labs_bun_(33.0,43.0]",0,,,,,,
labs,bun,above,(,43.0,59.0,],"labs_bun_(43.0,59.0]",0,,,,,,
labs,bun,above,(,59.0,64.0,],"labs_bun_(59.0,64.0]",0,1.0,,added,14362.0,5.0,lab_bun_above_59_to_249
labs,bun,above,(,64.0,71.0,],"labs_bun_(64.0,71.0]",0,1.0,,added,15207.0,5.0,lab_bun_above_59_to_249
labs,bun,above,(,71.0,81.0,],"labs_bun_(71.0,81.0]",0,1.0,,added,15593.0,5.0,lab_bun_above_59_to_249
labs,bun,above,(,81.0,96.0,],"labs_bun_(81.0,96.0]",0,1.0,,added,14004.0,5.0,lab_bun_above_59_to_249
labs,bun,above,(,96.0,249.0,],"labs_bun_(96.0,249.0]",0,1.0,,added,13577.0,5.0,lab_bun_above_59_to_249
labs,calcium_total,below,[,2.2,7.4,],"labs_calcium_total_[2.2,7.4]",0,,,,,,
labs,calcium_total,below,(,7.4,7.8,],"labs_calcium_total_(7.4,7.8]",0,,,,,,
labs,calcium_total,below,(,7.8,8.0,],"labs_calcium_total_(7.8,8.0]",0,,,,,,
labs,calcium_total,below,(,8.0,8.1,],"labs_calcium_total_(8.0,8.1]",0,,,,,,
labs,calcium_total,below,(,8.1,8.2,],"labs_calcium_total_(8.1,8.2]",0,,,,,,
labs,calcium_total,normal,(,8.2,8.5,],"labs_calcium_total_(8.2,8.5]",0,,,,,,
labs,calcium_total,normal,(,8.5,8.8,],"labs_calcium_total_(8.5,8.8]",0,,,,,,
labs,calcium_total,normal,(,8.8,9.1,],"labs_calcium_total_(8.8,9.1]",0,,,,,,
labs,calcium_total,normal,(,9.1,9.5,],"labs_calcium_total_(9.1,9.5]",0,,,,,,
labs,calcium_total,normal,(,9.5,10.2,],"labs_calcium_total_(9.5,10.2]",0,,,,,,
labs,calcium_total,above,(,10.2,10.3,],"labs_calcium_total_(10.2,10.3]",0,,,,,,
labs,calcium_total,above,(,10.3,10.4,],"labs_calcium_total_(10.3,10.4]",0,,,,,,
labs,calcium_total,above,(,10.4,10.6,],"labs_calcium_total_(10.4,10.6]",0,,,,,,
labs,calcium_total,above,(,10.6,10.9,],"labs_calcium_total_(10.6,10.9]",0,,,,,,
labs,calcium_total,above,(,10.9,19.9,],"labs_calcium_total_(10.9,19.9]",0,,,,,,
labs,chloride,below,[,54.9,91.0,],"labs_chloride_[54.9,91.0]",0,,,,,,
labs,chloride,below,(,91.0,93.0,],"labs_chloride_(91.0,93.0]",0,,,,,,
labs,chloride,below,(,93.0,95.0,],"labs_chloride_(93.0,95.0]",0,,,,,,
labs,chloride,below,(,95.0,96.0,],"labs_chloride_(95.0,96.0]",0,,,,,,
labs,chloride,normal,(,96.0,100.0,],"labs_chloride_(96.0,100.0]",0,,,,,,
labs,chloride,normal,(,100.0,102.0,],"labs_chloride_(100.0,102.0]",0,,,,,,
labs,chloride,normal,(,102.0,104.0,],"labs_chloride_(102.0,104.0]",0,,,,,,
labs,chloride,normal,(,104.0,105.0,],"labs_chloride_(104.0,105.0]",0,,,,,,
labs,chloride,normal,(,105.0,106.0,],"labs_chloride_(105.0,106.0]",0,,,,,,
labs,chloride,above,(,106.0,107.0,],"labs_chloride_(106.0,107.0]",0,,,,,,
labs,chloride,above,(,107.0,108.0,],"labs_chloride_(107.0,108.0]",0,,,,,,
labs,chloride,above,(,108.0,109.0,],"labs_chloride_(108.0,109.0]",0,,,,,,
labs,chloride,above,(,109.0,111.0,],"labs_chloride_(109.0,111.0]",0,,,,,,
labs,chloride,above,(,111.0,140.0,],"labs_chloride_(111.0,140.0]",0,,,,,,
labs,creatinine,below,[,0.19,0.49,],"labs_creatinine_[0.19,0.49]",0,,,,,,
labs,creatinine,below,(,0.49,0.53,],"labs_creatinine_(0.49,0.53]",0,,,,,,
labs,creatinine,below,(,0.53,0.56,],"labs_creatinine_(0.53,0.56]",0,,,,,,
labs,creatinine,below,(,0.56,0.59,],"labs_creatinine_(0.56,0.59]",0,,,,,,
labs,creatinine,below,(,0.59,0.6,],"labs_creatinine_(0.59,0.6]",0,,,,,,
labs,creatinine,normal,(,0.6,0.69,],"labs_creatinine_(0.6,0.69]",0,,,,,,
labs,creatinine,normal,(,0.69,0.76,],"labs_creatinine_(0.69,0.76]",0,,,,,,
labs,creatinine,normal,(,0.76,0.84,],"labs_creatinine_(0.76,0.84]",0,,,,,,
labs,creatinine,normal,(,0.84,0.97,],"labs_creatinine_(0.84,0.97]",0,,,,,,
labs,creatinine,normal,(,0.97,1.2,],"labs_creatinine_(0.97,1.2]",0,,,,,,
labs,creatinine,above,(,1.2,1.42,],"labs_creatinine_(1.2,1.42]",0,,,,,,
labs,creatinine,above,(,1.42,1.81,],"labs_creatinine_(1.42,1.81]",0,,,,,,
labs,creatinine,above,(,1.81,2.63,],"labs_creatinine_(1.81,2.63]",0,,,,,,
labs,creatinine,above,(,2.63,4.87,],"labs_creatinine_(2.63,4.87]",0,,,,,,
labs,creatinine,above,(,4.87,20.0,],"labs_creatinine_(4.87,20.0]",0,,,,,,
labs,crp,normal,[,0.3,1.3,],"labs_crp_[0.3,1.3]",0,,,,,,
labs,crp,normal,(,1.3,1.7,],"labs_crp_(1.3,1.7]",0,,,,,,
labs,crp,normal,(,1.7,2.1,],"labs_crp_(1.7,2.1]",0,,,,,,
labs,crp,normal,(,2.1,2.6,],"labs_crp_(2.1,2.6]",0,,,,,,
labs,crp,normal,(,2.6,3.1,],"labs_crp_(2.6,3.1]",0,,,,,,
labs,crp,above,(,3.1,17.7,],"labs_crp_(3.1,17.7]",0,,,,,,
labs,crp,above,(,17.7,44.1,],"labs_crp_(17.7,44.1]",0,,,,,,
labs,crp,above,(,44.1,87.8,],"labs_crp_(44.1,87.8]",0,,,,,,
labs,crp,above,(,87.8,169.4,],"labs_crp_(87.8,169.4]",0,,,,,,
labs,crp,above,(,169.4,610.6,],"labs_crp_(169.4,610.6]",0,,,,,,
labs,esr,normal,[,0.9,4.0,],"labs_esr_[0.9,4.0]",0,,,,,,
labs,esr,normal,(,4.0,8.0,],"labs_esr_(4.0,8.0]",0,,,,,,
labs,esr,normal,(,8.0,12.0,],"labs_esr_(8.0,12.0]",0,,,,,,
labs,esr,normal,(,12.0,16.0,],"labs_esr_(12.0,16.0]",0,,,,,,
labs,esr,normal,(,16.0,20.0,],"labs_esr_(16.0,20.0]",0,,,,,,
labs,esr,above,(,20.0,37.0,],"labs_esr_(20.0,37.0]",0,,,,,,
labs,esr,above,(,37.0,53.0,],"labs_esr_(37.0,53.0]",0,,,,,,
labs,esr,above,(,53.0,67.0,],"labs_esr_(53.0,67.0]",0,,,,,,
labs,esr,above,(,67.0,103.0,],"labs_esr_(67.0,103.0]",0,,,,,,
labs,esr,above,(,103.0,140.0,],"labs_esr_(103.0,140.0]",0,,,,,,
labs,ferritin,below,[,1.0,15.0,],"labs_ferritin_[1.0,15.0]",0,,,,,,
labs,ferritin,normal,(,15.0,38.0,],"labs_ferritin_(15.0,38.0]",0,,,,,,
labs,ferritin,normal,(,38.0,69.0,],"labs_ferritin_(38.0,69.0]",0,,,,,,
labs,ferritin,normal,(,69.0,106.0,],"labs_ferritin_(69.0,106.0]",0,,,,,,
labs,ferritin,normal,(,106.0,149.0,],"labs_ferritin_(106.0,149.0]",0,,,,,,
labs,ferritin,normal,(,149.0,200.0,],"labs_ferritin_(149.0,200.0]",0,,,,,,
labs,ferritin,above,(,200.0,378.0,],"labs_ferritin_(200.0,378.0]",0,,,,,,
labs,ferritin,above,(,378.0,675.0,],"labs_ferritin_(378.0,675.0]",0,,,,,,
labs,ferritin,above,(,675.0,1238.0,],"labs_ferritin_(675.0,1238.0]",0,,,,,,
labs,ferritin,above,(,1238.0,2340.0,],"labs_ferritin_(1238.0,2340.0]",0,,,,,,
labs,ferritin,above,(,2340.0,2803.2,],"labs_ferritin_(2340.0,2803.2]",0,1.0,,added,709.0,5.0,lab_ferritin_above_2340_to_39106
labs,ferritin,above,(,2803.2,3535.6,],"labs_ferritin_(2803.2,3535.6]",0,1.0,,added,708.0,5.0,lab_ferritin_above_2340_to_39106
labs,ferritin,above,(,3535.6,4906.2,],"labs_ferritin_(3535.6,4906.2]",0,1.0,,added,709.0,5.0,lab_ferritin_above_2340_to_39106
labs,ferritin,above,(,4906.2,7840.4,],"labs_ferritin_(4906.2,7840.4]",0,1.0,,added,708.0,5.0,lab_ferritin_above_2340_to_39106
labs,ferritin,above,(,7840.4,39106.0,],"labs_ferritin_(7840.4,39106.0]",0,1.0,,added,709.0,5.0,lab_ferritin_above_2340_to_39106
labs,glucose_fingerstick,below,[,19.9,51.0,],"labs_glucose_fingerstick_[19.9,51.0]",0,,,,,,
labs,glucose_fingerstick,below,(,51.0,60.0,],"labs_glucose_fingerstick_(51.0,60.0]",0,,,,,,
labs,glucose_fingerstick,below,(,60.0,65.0,],"labs_glucose_fingerstick_(60.0,65.0]",0,,,,,,
labs,glucose_fingerstick,below,(,65.0,68.0,],"labs_glucose_fingerstick_(65.0,68.0]",0,,,,,,
labs,glucose_fingerstick,below,(,68.0,70.0,],"labs_glucose_fingerstick_(68.0,70.0]",0,,,,,,
labs,glucose_fingerstick,normal,(,70.0,84.0,],"labs_glucose_fingerstick_(70.0,84.0]",0,,,,,,
labs,glucose_fingerstick,normal,(,84.0,92.0,],"labs_glucose_fingerstick_(84.0,92.0]",0,,,,,,
labs,glucose_fingerstick,normal,(,92.0,99.0,],"labs_glucose_fingerstick_(92.0,99.0]",0,,,,,,
labs,glucose_fingerstick,normal,(,99.0,105.0,],"labs_glucose_fingerstick_(99.0,105.0]",0,,,,,,
labs,glucose_fingerstick,normal,(,105.0,110.0,],"labs_glucose_fingerstick_(105.0,110.0]",0,,,,,,
labs,glucose_fingerstick,above,(,110.0,130.0,],"labs_glucose_fingerstick_(110.0,130.0]",0,,,,,,
labs,glucose_fingerstick,above,(,130.0,151.0,],"labs_glucose_fingerstick_(130.0,151.0]",0,,,,,,
labs,glucose_fingerstick,above,(,151.0,178.0,],"labs_glucose_fingerstick_(151.0,178.0]",0,,,,,,
labs,glucose_fingerstick,above,(,178.0,223.0,],"labs_glucose_fingerstick_(178.0,223.0]",0,,,,,,
labs,glucose_fingerstick,above,(,223.0,237.0,],"labs_glucose_fingerstick_(223.0,237.0]",0,1.0,,added,38314.0,5.0,lab_glucose_fingerstick_above_223_to_693
labs,glucose_fingerstick,above,(,237.0,256.0,],"labs_glucose_fingerstick_(237.0,256.0]",0,1.0,,added,39238.0,5.0,lab_glucose_fingerstick_above_223_to_693
labs,glucose_fingerstick,above,(,256.0,282.0,],"labs_glucose_fingerstick_(256.0,282.0]",0,1.0,,added,38118.0,5.0,lab_glucose_fingerstick_above_223_to_693
labs,glucose_fingerstick,above,(,282.0,324.0,],"labs_glucose_fingerstick_(282.0,324.0]",0,1.0,,added,37288.0,5.0,lab_glucose_fingerstick_above_223_to_693
labs,glucose_fingerstick,above,(,324.0,693.0,],"labs_glucose_fingerstick_(324.0,693.0]",0,1.0,,added,37425.0,5.0,lab_glucose_fingerstick_above_223_to_693
labs,glucose_serum,below,[,4.9,56.0,],"labs_glucose_serum_[4.9,56.0]",0,,,,,,
labs,glucose_serum,below,(,56.0,63.0,],"labs_glucose_serum_(56.0,63.0]",0,,,,,,
labs,glucose_serum,below,(,63.0,66.0,],"labs_glucose_serum_(63.0,66.0]",0,,,,,,
labs,glucose_serum,below,(,66.0,69.0,],"labs_glucose_serum_(66.0,69.0]",0,,,,,,
labs,glucose_serum,below,(,69.0,70.0,],"labs_glucose_serum_(69.0,70.0]",0,,,,,,
labs,glucose_serum,normal,(,70.0,84.0,],"labs_glucose_serum_(70.0,84.0]",0,,,,,,
labs,glucose_serum,normal,(,84.0,91.0,],"labs_glucose_serum_(84.0,91.0]",0,,,,,,
labs,glucose_serum,normal,(,91.0,97.0,],"labs_glucose_serum_(91.0,97.0]",0,,,,,,
labs,glucose_serum,normal,(,97.0,103.0,],"labs_glucose_serum_(97.0,103.0]",0,,,,,,
labs,glucose_serum,normal,(,103.0,110.0,],"labs_glucose_serum_(103.0,110.0]",0,,,,,,
labs,glucose_serum,above,(,110.0,120.0,],"labs_glucose_serum_(110.0,120.0]",0,,,,,,
labs,glucose_serum,above,(,120.0,133.0,],"labs_glucose_serum_(120.0,133.0]",0,,,,,,
labs,glucose_serum,above,(,133.0,154.0,],"labs_glucose_serum_(133.0,154.0]",0,,,,,,
labs,glucose_serum,above,(,154.0,193.0,],"labs_glucose_serum_(154.0,193.0]",0,,,,,,
labs,glucose_serum,above,(,193.0,206.0,],"labs_glucose_serum_(193.0,206.0]",0,1.0,,added,15695.0,5.0,lab_glucose_serum_above_193_to_1977
labs,glucose_serum,above,(,206.0,225.0,],"labs_glucose_serum_(206.0,225.0]",0,1.0,,added,16290.0,5.0,lab_glucose_serum_above_193_to_1977
labs,glucose_serum,above,(,225.0,253.0,],"labs_glucose_serum_(225.0,253.0]",0,1.0,,added,16465.0,5.0,lab_glucose_serum_above_193_to_1977
labs,glucose_serum,above,(,253.0,303.0,],"labs_glucose_serum_(253.0,303.0]",0,1.0,,added,15540.0,5.0,lab_glucose_serum_above_193_to_1977
labs,glucose_serum,above,(,303.0,1977.0,],"labs_glucose_serum_(303.0,1977.0]",0,1.0,,added,15651.0,5.0,lab_glucose_serum_above_193_to_1977
labs,hemoglobin,below,[,1.9,6.8,],"labs_hemoglobin_[1.9,6.8]",0,1.0,,added,22883.0,5.0,lab_hemoglobin_below_2_to_8
labs,hemoglobin,below,(,6.8,7.1,],"labs_hemoglobin_(6.8,7.1]",0,1.0,,added,22713.0,5.0,lab_hemoglobin_below_2_to_8
labs,hemoglobin,below,(,7.1,7.4,],"labs_hemoglobin_(7.1,7.4]",0,1.0,,added,33455.0,5.0,lab_hemoglobin_below_2_to_8
