category,measurement,segment,min_interval,min_value,max_value,max_interval,token,exact_dose_token,make_extreme_value_quintile,manual_correction_range,added,observation_count,num_quantiles,original_token
labs,albumin,below,[,0.4,1.4,],"labs_albumin_[0.4,1.4]",0,1.0,,added,22202.0,5.0,lab_albumin_below_0_to_2
labs,albumin,below,(,1.4,1.6,],"labs_albumin_(1.4,1.6]",0,1.0,,added,23470.0,5.0,lab_albumin_below_0_to_2
labs,albumin,below,(,1.6,1.8,],"labs_albumin_(1.6,1.8]",0,1.0,,added,31794.0,5.0,lab_albumin_below_0_to_2
labs,albumin,below,(,1.8,1.9,],"labs_albumin_(1.8,1.9]",0,1.0,,added,24547.0,5.0,lab_albumin_below_0_to_2
labs,albumin,below,(,1.9,2.0,],"labs_albumin_(1.9,2.0]",0,1.0,,added,26232.0,5.0,lab_albumin_below_0_to_2
labs,albumin,below,(,2.0,2.4,],"labs_albumin_(2.0,2.4]",0,,,,,,
labs,albumin,below,(,2.4,2.8,],"labs_albumin_(2.4,2.8]",0,,,,,,
labs,albumin,below,(,2.8,3.1,],"labs_albumin_(2.8,3.1]",0,,,,,,
labs,albumin,below,(,3.1,3.5,],"labs_albumin_(3.1,3.5]",0,,,,,,
labs,albumin,normal,(,3.5,3.6,],"labs_albumin_(3.5,3.6]",0,,,,,,
labs,albumin,normal,(,3.6,3.7,],"labs_albumin_(3.6,3.7]",0,,,,,,
labs,albumin,normal,(,3.7,3.8,],"labs_albumin_(3.7,3.8]",0,,,,,,
labs,albumin,normal,(,3.8,4.1,],"labs_albumin_(3.8,4.1]",0,,,,,,
labs,albumin,normal,(,4.1,5.0,],"labs_albumin_(4.1,5.0]",0,,,,,,
labs,albumin,above,(,5.0,6.7,],"labs_albumin_(5.0,6.7]",0,,,,,,
labs,alkaline_phosphatase,below,[,5.0,30.0,],"labs_alkaline_phosphatase_[5.0,30.0]",0,,,,,,
labs,alkaline_phosphatase,normal,(,30.0,59.0,],"labs_alkaline_phosphatase_(30.0,59.0]",0,,,,,,
labs,alkaline_phosphatase,normal,(,59.0,71.0,],"labs_alkaline_phosphatase_(59.0,71.0]",0,,,,,,
labs,alkaline_phosphatase,normal,(,71.0,84.0,],"labs_alkaline_phosphatase_(71.0,84.0]",0,,,,,,
labs,alkaline_phosphatase,normal,(,84.0,99.0,],"labs_alkaline_phosphatase_(84.0,99.0]",0,,,,,,
labs,alkaline_phosphatase,normal,(,99.0,120.0,],"labs_alkaline_phosphatase_(99.0,120.0]",0,,,,,,
labs,alkaline_phosphatase,above,(,120.0,136.0,],"labs_alkaline_phosphatase_(120.0,136.0]",0,,,,,,
labs,alkaline_phosphatase,above,(,136.0,160.0,],"labs_alkaline_phosphatase_(136.0,160.0]",0,,,,,,
labs,alkaline_phosphatase,above,(,160.0,202.0,],"labs_alkaline_phosphatase_(160.0,202.0]",0,,,,,,
labs,alkaline_phosphatase,above,(,202.0,302.0,],"labs_alkaline_phosphatase_(202.0,302.0]",0,,,,,,
labs,alkaline_phosphatase,above,(,302.0,4389.0,],"labs_alkaline_phosphatase_(302.0,4389.0]",0,,,,,,
labs,alt,below,[,5.0,10.0,],"labs_alt_[5.0,10.0]",0,,,,,,
labs,alt,normal,(,10.0,13.0,],"labs_alt_(10.0,13.0]",0,,,,,,
labs,alt,normal,(,13.0,17.0,],"labs_alt_(13.0,17.0]",0,,,,,,
labs,alt,normal,(,17.0,22.0,],"labs_alt_(17.0,22.0]",0,,,,,,
labs,alt,normal,(,22.0,28.0,],"labs_alt_(22.0,28.0]",0,,,,,,
labs,alt,normal,(,28.0,40.0,],"labs_alt_(28.0,40.0]",0,,,,,,
labs,alt,above,(,40.0,48.0,],"labs_alt_(40.0,48.0]",0,,,,,,
labs,alt,above,(,48.0,63.0,],"labs_alt_(48.0,63.0]",0,,,,,,
labs,alt,above,(,63.0,90.0,],"labs_alt_(63.0,90.0]",0,,,,,,
labs,alt,above,(,90.0,169.0,],"labs_alt_(90.0,169.0]",0,,,,,,
labs,alt,above,(,169.0,218.0,],"labs_alt_(169.0,218.0]",0,1.0,,added,4649.0,5.0,lab_alt_above_169_to_19191
labs,alt,above,(,218.0,305.0,],"labs_alt_(218.0,305.0]",0,1.0,,added,4711.0,5.0,lab_alt_above_169_to_19191
labs,alt,above,(,305.0,502.0,],"labs_alt_(305.0,502.0]",0,1.0,,added,4663.0,5.0,lab_alt_above_169_to_19191
labs,alt,above,(,502.0,1057.0,],"labs_alt_(502.0,1057.0]",0,1.0,,added,4650.0,5.0,lab_alt_above_169_to_19191
labs,alt,above,(,1057.0,19191.0,],"labs_alt_(1057.0,19191.0]",0,1.0,,added,4641.0,5.0,lab_alt_above_169_to_19191
labs,ast,below,[,3.0,10.0,],"labs_ast_[3.0,10.0]",0,,,,,,
labs,ast,normal,(,10.0,14.0,],"labs_ast_(10.0,14.0]",0,,,,,,
labs,ast,normal,(,14.0,17.0,],"labs_ast_(14.0,17.0]",0,,,,,,
labs,ast,normal,(,17.0,21.0,],"labs_ast_(17.0,21.0]",0,,,,,,
labs,ast,normal,(,21.0,25.0,],"labs_ast_(21.0,25.0]",0,,,,,,
labs,ast,normal,(,25.0,30.0,],"labs_ast_(25.0,30.0]",0,,,,,,
labs,ast,above,(,30.0,36.0,],"labs_ast_(30.0,36.0]",0,,,,,,
labs,ast,above,(,36.0,46.0,],"labs_ast_(36.0,46.0]",0,,,,,,
labs,ast,above,(,46.0,64.0,],"labs_ast_(46.0,64.0]",0,,,,,,
labs,ast,above,(,64.0,114.0,],"labs_ast_(64.0,114.0]",0,,,,,,
labs,ast,above,(,114.0,142.0,],"labs_ast_(114.0,142.0]",0,1.0,,added,7653.0,5.0,lab_ast_above_114_to_19854
labs,ast,above,(,142.0,192.0,],"labs_ast_(142.0,192.0]",0,1.0,,added,7677.0,5.0,lab_ast_above_114_to_19854
labs,ast,above,(,192.0,304.0,],"labs_ast_(192.0,304.0]",0,1.0,,added,7529.0,5.0,lab_ast_above_114_to_19854
labs,ast,above,(,304.0,713.6,],"labs_ast_(304.0,713.6]",0,1.0,,added,7534.0,5.0,lab_ast_above_114_to_19854
labs,ast,above,(,713.6,19854.0,],"labs_ast_(713.6,19854.0]",0,1.0,,added,7513.0,5.0,lab_ast_above_114_to_19854
labs,bicarbonate,below,[,1.9,14.0,],"labs_bicarbonate_[1.9,14.0]",0,1.0,,added,20362.0,5.0,lab_bicarbonate_below_2_to_18
labs,bicarbonate,below,(,14.0,16.0,],"labs_bicarbonate_(14.0,16.0]",0,1.0,,added,27774.0,5.0,lab_bicarbonate_below_2_to_18
labs,bicarbonate,below,(,16.0,17.0,],"labs_bicarbonate_(16.0,17.0]",0,1.0,,added,30026.0,5.0,lab_bicarbonate_below_2_to_18
labs,bicarbonate,below,(,17.0,18.0,],"labs_bicarbonate_(17.0,18.0]",0,1.0,,added,41142.0,5.0,lab_bicarbonate_below_2_to_18
labs,bicarbonate,below,(,18.0,20.0,],"labs_bicarbonate_(18.0,20.0]",0,,,,,,
labs,bicarbonate,below,(,20.0,21.0,],"labs_bicarbonate_(20.0,21.0]",0,,,,,,
labs,bicarbonate,below,(,21.0,22.0,],"labs_bicarbonate_(21.0,22.0]",0,,,,,,
labs,bicarbonate,normal,(,22.0,23.0,],"labs_bicarbonate_(22.0,23.0]",0,,,,,,
labs,bicarbonate,normal,(,23.0,24.0,],"labs_bicarbonate_(23.0,24.0]",0,,,,,,
labs,bicarbonate,normal,(,24.0,25.0,],"labs_bicarbonate_(24.0,25.0]",0,,,,,,
labs,bicarbonate,normal,(,25.0,26.0,],"labs_bicarbonate_(25.0,26.0]",0,,,,,,
labs,bicarbonate,normal,(,26.0,28.0,],"labs_bicarbonate_(26.0,28.0]",0,,,,,,
labs,bicarbonate,above,(,28.0,29.0,],"labs_bicarbonate_(28.0,29.0]",0,,,,,,
labs,bicarbonate,above,(,29.0,30.0,],"labs_bicarbonate_(29.0,30.0]",0,,,,,,
labs,bicarbonate,above,(,30.0,32.0,],"labs_bicarbonate_(30.0,32.0]",0,,,,,,
labs,bicarbonate,above,(,32.0,33.0,],"labs_bicarbonate_(32.0,33.0]",0,1.0,,added,14755.0,5.0,lab_bicarbonate_above_32_to_50
labs,bicarbonate,above,(,33.0,35.0,],"labs_bicarbonate_(33.0,35.0]",0,1.0,,added,15870.0,5.0,lab_bicarbonate_above_32_to_50
labs,bicarbonate,above,(,35.0,38.0,],"labs_bicarbonate_(35.0,38.0]",0,1.0,,added,13793.0,5.0,lab_bicarbonate_above_32_to_50
labs,bicarbonate,above,(,38.0,42.0,],"labs_bicarbonate_(38.0,42.0]",0,1.0,,added,11232.0,5.0,lab_bicarbonate_above_32_to_50
labs,bicarbonate,above,(,42.0,50.0,],"labs_bicarbonate_(42.0,50.0]",0,1.0,,added,11299.0,5.0,lab_bicarbonate_above_32_to_50
labs,bilirubin_conjugated,below,[,0.0,0.14,],"labs_bilirubin_conjugated_[0.0,0.14]",1,,,,,,
labs,bilirubin_conjugated,normal,(,0.14,0.17,],"labs_bilirubin_conjugated_(0.14,0.17]",0,,,,,,
labs,bilirubin_conjugated,normal,(,0.17,0.21,],"labs_bilirubin_conjugated_(0.17,0.21]",0,,,,,,
labs,bilirubin_conjugated,normal,(,0.21,0.25,],"labs_bilirubin_conjugated_(0.21,0.25]",0,,,,,,
labs,bilirubin_conjugated,normal,(,0.25,0.3,],"labs_bilirubin_conjugated_(0.25,0.3]",0,,,,,,
labs,bilirubin_conjugated,above,(,0.3,0.44,],"labs_bilirubin_conjugated_(0.3,0.44]",0,,,,,,
labs,bilirubin_conjugated,above,(,0.44,0.68,],"labs_bilirubin_conjugated_(0.44,0.68]",0,,,,,,
labs,bilirubin_conjugated,above,(,0.68,1.18,],"labs_bilirubin_conjugated_(0.68,1.18]",0,,,,,,
labs,bilirubin_conjugated,above,(,1.18,3.1,],"labs_bilirubin_conjugated_(1.18,3.1]",0,,,,,,
labs,bilirubin_conjugated,above,(,3.1,4.07,],"labs_bilirubin_conjugated_(3.1,4.07]",0,1.0,,added,479.0,5.0,lab_bilirubin_conjugated_above_3_to_43
labs,bilirubin_conjugated,above,(,4.07,5.45,],"labs_bilirubin_conjugated_(4.07,5.45]",0,1.0,,added,481.0,5.0,lab_bilirubin_conjugated_above_3_to_43
labs,bilirubin_conjugated,above,(,5.45,7.73,],"labs_bilirubin_conjugated_(5.45,7.73]",0,1.0,,added,482.0,5.0,lab_bilirubin_conjugated_above_3_to_43
labs,bilirubin_conjugated,above,(,7.73,12.11,],"labs_bilirubin_conjugated_(7.73,12.11]",0,1.0,,added,477.0,5.0,lab_bilirubin_conjugated_above_3_to_43
labs,bilirubin_conjugated,above,(,12.11,42.62,],"labs_bilirubin_conjugated_(12.11,42.62]",0,1.0,,added,478.0,5.0,lab_bilirubin_conjugated_above_3_to_43
labs,bilirubin_total,below,[,0.1,0.3,],"labs_bilirubin_total_[0.1,0.3]",0,,,,,,
labs,bilirubin_total,normal,(,0.3,0.4,],"labs_bilirubin_total_(0.3,0.4]",0,,,,,,
labs,bilirubin_total,normal,(,0.4,0.5,],"labs_bilirubin_total_(0.4,0.5]",0,,,,,,
labs,bilirubin_total,normal,(,0.5,0.6,],"labs_bilirubin_total_(0.5,0.6]",0,,,,,,
labs,bilirubin_total,normal,(,0.6,0.8,],"labs_bilirubin_total_(0.6,0.8]",0,,,,,,
labs,bilirubin_total,normal,(,0.8,1.2,],"labs_bilirubin_total_(0.8,1.2]",0,,,,,,
labs,bilirubin_total,above,(,1.2,1.4,],"labs_bilirubin_total_(1.2,1.4]",0,,,,,,
labs,bilirubin_total,above,(,1.4,1.9,],"labs_bilirubin_total_(1.4,1.9]",0,,,,,,
labs,bilirubin_total,above,(,1.9,2.8,],"labs_bilirubin_total_(1.9,2.8]",0,,,,,,
